               epoch;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2;;;
0;             0.12481;            0.036953;            0.047677;           0.0011789;            0.042764;          0.00064284;          0.00015081;             0.11923;            0.042503;            0.047131;5,00E-05;5,00E-05;             0.09955;;;
1;             0.12398;            0.034219;            0.047006;          0.00092745;             0.12793;          0.00054576;          0.00014322;             0.11647;            0.040849;            0.046503;             0.00011;             0.00011;             0.09901;;;
2;             0.11962;            0.033862;            0.045977;           0.0014181;           0.0091358;          0.00055644;          0.00012929;             0.11408;            0.040586;             0.04567;             0.00017;             0.00017;             0.09847;;;
3;             0.11649;            0.032168;            0.044919;           0.0011794;            0.014372;          0.00051752;           0.0001137;             0.11181;            0.041107;            0.044771;             0.00023;             0.00023;             0.09793;;;
4;             0.11461;            0.031841;            0.044359;           0.0016837;            0.011726;          0.00046924;          0.00010317;             0.10934;             0.04214;            0.043893;             0.00029;             0.00029;             0.09739;;;
5;             0.11148;            0.032054;            0.043359;           0.0023024;            0.012771;          0.00056208;          0.00011969;             0.10681;            0.043343;            0.043095;             0.00035;             0.00035;             0.09685;;;
6;             0.10898;            0.035535;            0.042733;           0.0020392;            0.019635;          0.00078193;          0.00015736;             0.10336;            0.045174;            0.042348;             0.00041;             0.00041;             0.09631;;;
7;             0.10594;             0.03414;             0.04173;           0.0050665;           0.0051813;           0.0013335;          0.00026134;            0.099318;            0.047014;            0.041776;             0.00047;             0.00047;             0.09577;;;
8;             0.10263;            0.039685;            0.041592;            0.022145;            0.029793;            0.011144;           0.0019273;            0.093925;            0.048786;            0.041388;             0.00053;             0.00053;             0.09523;;;
9;            0.092934;            0.038443;            0.040388;            0.064122;             0.19042;            0.048663;            0.012826;            0.082609;            0.051971;            0.041353;             0.00059;             0.00059;             0.09469;;;
